SampleID,SampleCode,Frame,Treatment,TreeNumber,Sampling_Number
J398,C_CON_028_(1st sampling),C,CON,028,01
J399,C_CON_028_(1st sampling),C,CON,028,01
J400,C_CON_028_(2nd sampling),C,CON,028,02
J401,C_CON_028_(2nd sampling),C,CON,028,02
J402,C_CON_028_(2nd sampling),C,CON,028,02
J403,C_CON_029_(1st sampling),C,CON,029,01
J404,C_CON_029_(1st sampling),C,CON,029,01
J405,C_CON_029_(1st sampling),C,CON,029,01
J406,C_CON_029_(2nd sampling),C,CON,029,02
J407,C_CON_029_(2nd sampling),C,CON,029,02
J408,C_CON_029_(2nd sampling),C,CON,029,02
J409,C_CON_029_(3rd sampling),C,CON,029,03
J410,C_CON_029_(3rd sampling),C,CON,029,03
J411,C_CON_029_(3rd sampling),C,CON,029,03
J412,C_CON_030_(1st sampling),C,CON,030,01
J413,C_CON_030_(1st sampling),C,CON,030,01
J414,C_CON_030_(1st sampling),C,CON,030,01
J415,C_CON_030_(2nd sampling),C,CON,030,02
J416,C_CON_030_(2nd sampling),C,CON,030,02
J417,C_CON_030_(2nd sampling),C,CON,030,02
J418,D_UV_031_(1st sampling),D,UV,031,01
J419,D_UV_031_(1st sampling),D,UV,031,01
J420,D_UV_031_(1st sampling),D,UV,031,01
J421,D_UV_031_(2nd sampling),D,UV,031,02
J422,D_UV_031_(2nd sampling),D,UV,031,02
J423,D_UV_031_(2nd sampling),D,UV,031,02
J424,D_UV_031_(3rd sampling),D,UV,031,03
J425,D_UV_031_(3rd sampling),D,UV,031,03
J426,D_UV_031_(3rd sampling),D,UV,031,03
J427,D_UV_032_(1st sampling),D,UV,032,01
J428,D_UV_032_(1st sampling),D,UV,032,01
J429,D_UV_032_(1st sampling),D,UV,032,01
J430,D_UV_032_(2nd sampling),D,UV,032,02
J431,D_UV_032_(2nd sampling),D,UV,032,02
J432,D_UV_032_(2nd sampling),D,UV,032,02
J433,D_UV_033_(1st sampling),D,UV,033,01
J434,D_UV_033_(1st sampling),D,UV,033,01
J435,D_UV_033_(1st sampling),D,UV,033,01
J436,D_UV_033_(2nd sampling),D,UV,033,02
J437,D_UV_033_(2nd sampling),D,UV,033,02
J438,D_UV_033_(2nd sampling),D,UV,033,02
J439,D_UV_034_(1st sampling),D,UV,034,01
J440,D_UV_034_(1st sampling),D,UV,034,01
J441,D_UV_034_(1st sampling),D,UV,034,01
J442,D_UV_034_(2nd sampling),D,UV,034,02
J443,D_UV_034_(2nd sampling),D,UV,034,02
J444,D_UV_034_(2nd sampling),D,UV,034,02
J445,D_UV_035_(1st sampling),D,UV,035,01
J446,D_UV_035_(1st sampling),D,UV,035,01
J447,D_UV_035_(1st sampling),D,UV,035,01
J448,D_UV_035_(2nd sampling),D,UV,035,02
J449,D_UV_035_(2nd sampling),D,UV,035,02
J450,D_UV_035_(2nd sampling),D,UV,035,02
J451,D_CON_036_(1st sampling),D,CON,036,01
J452,D_CON_036_(1st sampling),D,CON,036,01
J453,D_CON_036_(1st sampling),D,CON,036,01
J454,D_CON_036_(2nd sampling),D,CON,036,02
J455,D_CON_036_(2nd sampling),D,CON,036,02
J456,D_CON_036_(2nd sampling),D,CON,036,02
J457,D_CON_036_(3rd sampling),D,CON,036,03
J458,D_CON_036_(3rd sampling),D,CON,036,03
J459,D_CON_036_(3rd sampling),D,CON,036,03
J460,D_CON_040_(1st sampling),D,CON,040,01
J461,D_CON_040_(1st sampling),D,CON,040,01
J462,D_CON_040_(1st sampling),D,CON,040,01
J511,D_CON_040_(2nd sampling),D,CON,040,02
J512,D_CON_040_(2nd sampling),D,CON,040,02
J513,D_CON_040_(2nd sampling),D,CON,040,02
J514,E_CON_047_(1st sampling),E,CON,047,01
J515,E_CON_047_(1st sampling),E,CON,047,01
J516,E_CON_047_(1st sampling),E,CON,047,01
J517,E_CON_048_(1st sampling),E,CON,048,01
J518,E_CON_048_(1st sampling),E,CON,048,01
J519,E_CON_048_(1st sampling),E,CON,048,01
J520,E_CON_048_(2nd sampling),E,CON,048,02
J521,E_CON_048_(2nd sampling),E,CON,048,02
J522,E_CON_048_(2nd sampling),E,CON,048,02
J523,E_CON_048_(3rd sampling),E,CON,048,03
J524,E_CON_048_(3rd sampling),E,CON,048,03
J525,E_CON_048_(3rd sampling),E,CON,048,03
J526,F_UV_053_(1st sampling),F,UV,053,01
J527,F_UV_053_(1st sampling),F,UV,053,01
J528,F_UV_053_(1st sampling),F,UV,053,01
J529,F_UV_053_(2nd sampling),F,UV,053,02
J530,F_UV_053_(2nd sampling),F,UV,053,02
J531,F_UV_053_(2nd sampling),F,UV,053,02
J532,F_UV_054_(1st sampling),F,UV,054,01
J533,F_UV_054_(1st sampling),F,UV,054,01
J534,F_UV_054_(1st sampling),F,UV,054,01
J535,F_UV_054_(2nd sampling),F,UV,054,02
J536,F_UV_054_(2nd sampling),F,UV,054,02
J537,F_UV_054_(2nd sampling),F,UV,054,02
J538,F_UV_054_(3rd sampling),F,UV,054,03
J539,F_UV_054_(3rd sampling),F,UV,054,03
J540,F_UV_054_(3rd sampling),F,UV,054,03
J541,F_UV_055_(1st sampling),F,UV,055,01
J542,F_UV_055_(1st sampling),F,UV,055,01
J543,F_UV_055_(1st sampling),F,UV,055,01
J608,F_UV_055_(2nd sampling),F,UV,055,02
J609,F_UV_055_(2nd sampling),F,UV,055,02
J610,F_UV_055_(2nd sampling),F,UV,055,02
J611,F_CON_056_(1st sampling),F,CON,056,01
J612,F_CON_056_(1st sampling),F,CON,056,01
J613,F_CON_056_(1st sampling),F,CON,056,01
J614,F_CON_056_(2nd sampling),F,CON,056,02
J615,F_CON_056_(2nd sampling),F,CON,056,02
J616,F_CON_056_(2nd sampling),F,CON,056,02
J617,F_CON_057_(1st sampling),F,CON,057,01
J618,F_CON_057_(1st sampling),F,CON,057,01
J619,F_CON_057_(1st sampling),F,CON,057,01
J620,F_CON_057_(2nd sampling),F,CON,057,02
J621,F_CON_057_(2nd sampling),F,CON,057,02
J622,F_CON_057_(2nd sampling),F,CON,057,02
J623,F_CON_059_(1st sampling),F,CON,059,01
J624,F_CON_059_(1st sampling),F,CON,059,01
J625,F_CON_059_(1st sampling),F,CON,059,01
J626,F_CON_059_(2nd sampling),F,CON,059,02
J627,F_CON_059_(2nd sampling),F,CON,059,02
J628,F_CON_059_(2nd sampling),F,CON,059,02
